word,polar,size,positive,negative
ใต้,-1,1.8957951689174795,6.659085553882247e-05,0.00018957951689174796
สอบ,1,1.8952781961049472,0.00018952781961049472,4.0472031695991136e-05
ถือ_ยาว,1,1.8952781961049472,0.00018952781961049472,9.159459804882206e-05
กิน,-1,1.8817802646129809,0.00040637496457024994,0.0007647083883610957
เฮีย,-1,1.8744940996038,6.317593987016491e-05,0.00018744940996038
เดือดร้อน,-1,1.8744940996038,5.805356636717856e-05,0.00018744940996038
bts,1,1.8703606947759757,0.00023904409680602936,0.0001278064158820773
ความ_สุข,1,1.865222341218899,0.00020660239795378254,0.00011076556043113364
แนว_รับ,-1,1.8637815608705004,0.00014171900024928885,0.0002641332594896264
ขา_ลง,-1,1.8617004152069974,0.00011098475923137079,0.00020662037234269162
